Date,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Discount (Yes/No)
2020/8/24,0.387,7,No
2020/8/24,0.416,7,No
2020/8/24,0.158,7,No
2020/8/24,0.573,7,No
2020/8/24,0.229,7,No
2020/8/24,0.33,7,No
2020/8/24,0.272,7,No
2020/8/24,0.444,7,No
2020/8/24,0.358,7,No
2020/8/24,0.272,7,No
2020/8/24,0.315,7,No
2020/8/24,0.158,7,No
2020/8/24,0.401,7,No
2020/8/24,0.358,7,No
2020/8/24,0.501,7,No
2020/8/24,0.43,7,No
2020/8/24,0.33,7,No
2020/8/24,0.702,7,No
2020/8/24,0.315,7,No
2020/8/24,0.501,7,No
2020/8/24,0.287,7,No
2020/8/24,0.33,7,No
2020/8/24,0.287,7,No
2020/8/24,0.401,7,No
2020/8/24,0.587,7,No
2020/8/24,0.215,7,No
2020/8/24,0.215,7,No
2020/8/27,0.53,7,No
2020/8/27,0.602,7,No
2020/8/27,0.473,7,No
2020/8/27,0.888,7,No
2020/8/27,0.501,7,No
2020/8/27,0.215,7,No
2020/8/27,0.244,7,No
2020/8/27,0.272,7,No
2020/8/27,0.272,7,No
2020/8/27,0.315,7,No
2020/8/27,0.444,7,No
2020/8/27,0.544,7,No
2020/8/27,0.258,7,No
2020/8/27,0.272,7,No
2020/8/27,0.244,7,No
2020/8/27,0.229,7,No
2020/8/27,0.229,7,No
2020/8/27,0.215,7,No
2020/8/27,0.315,7,No
2020/8/27,0.272,7,No
2020/8/27,0.516,7,No
2020/8/27,0.315,7,No
2020/8/27,0.544,7,No
2020/8/27,0.272,7,No
2020/8/27,0.802,7,No
2020/9/4,0.522,5,No
2020/9/4,0.382,5,No
2020/9/4,0.121,5,No
2020/9/4,0.462,5,No
2020/9/4,0.361,5,No
2020/9/4,0.241,5,No
2020/9/4,0.482,5,No
2020/9/4,0.663,5,No
2020/9/4,0.442,5,No
2020/9/4,0.201,5,No
2020/9/4,0.141,5,No
2020/9/4,0.221,5,No
2020/9/4,0.542,5,No
2020/9/4,0.462,5,No
2020/9/4,0.422,5,No
2020/9/4,0.281,5,No
2020/9/4,0.382,5,No
2020/9/4,0.161,5,No
2020/9/5,0.542,5,No
2020/9/5,0.502,5,No
2020/9/5,0.582,5,No
2020/9/5,0.502,5,No
2020/9/5,0.221,5,No
2020/9/5,0.261,5,No
2020/9/5,0.542,5,No
2020/9/5,0.462,5,No
2020/9/5,0.201,5,No
2020/9/5,0.261,5,No
2020/9/5,0.361,5,No
2020/9/5,0.502,5,No
2020/9/5,0.562,5,No
2020/9/5,0.542,5,No
2020/9/5,0.582,5,No
2020/9/5,0.321,5,No
2020/9/5,0.241,5,No
2020/9/5,0.382,5,No
2020/9/5,0.582,5,No
2020/9/5,0.201,5,No
2020/9/6,0.321,5,No
2020/9/6,0.201,5,No
2020/9/6,0.884,5,No
2020/9/6,0.321,5,No
2020/9/6,0.341,5,No
2020/9/6,0.422,5,No
2020/9/6,0.341,5,No
2020/9/6,0.361,5,No
2020/9/6,0.361,5,No
2020/9/6,0.301,5,No
2020/9/6,0.502,5,No
2020/9/6,0.602,5,No
2020/9/6,0.643,5,No
2020/9/6,0.321,5,No
2020/9/6,0.643,5,No
2020/9/6,0.221,5,No
2020/9/6,0.321,5,No
2020/9/6,0.562,5,No
2020/9/6,0.361,5,No
2020/9/6,0.341,5,No
2020/9/6,0.341,5,No
2020/9/7,0.422,5,No
2020/9/7,0.221,5,No
2020/9/7,0.442,5,No
2020/9/7,0.462,5,No
2020/9/7,0.522,5,No
2020/9/7,0.321,5,No
2020/9/7,0.261,5,No
2020/9/7,0.482,5,No
2020/9/7,0.281,5,No
2020/9/7,0.201,5,No
2020/9/7,0.542,5,No
2020/9/7,0.321,5,No
2020/9/7,0.562,5,No
2020/9/7,0.442,5,No
2020/9/7,0.683,5,No
2020/9/7,0.281,5,No
2020/9/7,0.341,5,No
2020/9/7,0.422,5,No
2020/9/7,0.361,5,No
2020/9/7,0.562,5,No
2020/9/7,0.281,5,No
2020/9/7,0.542,5,No
2020/9/8,0.422,5,No
2020/9/8,0.361,5,No
2020/9/8,0.562,5,No
2020/9/8,0.382,5,No
2020/9/8,0.341,5,No
2020/9/8,0.783,5,No
2020/9/8,0.382,5,No
2020/9/8,0.843,5,No
2020/9/8,0.321,5,No
2020/9/8,0.663,5,No
2020/9/8,0.241,5,No
2020/9/8,0.261,5,No
2020/9/9,0.321,5,No
2020/9/9,0.301,5,No
2020/9/9,0.382,5,No
2020/9/9,0.321,5,No
2020/9/9,0.241,5,No
2020/9/9,0.402,5,No
2020/9/9,0.261,5,No
2020/9/9,0.301,5,No
2020/9/9,0.422,5,No
2020/9/9,0.402,5,No
2020/9/9,0.241,5,No
2020/9/9,0.361,5,No
2020/9/9,0.522,5,No
2020/9/9,0.643,5,No
2020/9/9,0.341,5,No
2020/9/9,0.301,5,No
2020/9/9,0.361,5,No
2020/9/9,0.301,5,No
2020/9/9,0.382,5,No
2020/9/9,0.623,5,No
2020/9/9,0.361,5,No
2020/9/10,0.442,5,No
2020/9/10,1.084,5,No
2020/9/10,0.944,5,No
2020/9/10,0.422,5,No
2020/9/10,0.763,5,No
2020/9/10,0.361,5,No
2020/9/10,0.462,5,No
2020/9/10,0.462,5,No
2020/9/10,0.402,5,No
2020/9/10,0.402,5,No
2020/9/10,0.382,5,No
2020/9/10,0.542,5,No
2020/9/10,0.382,5,No
2020/9/10,0.442,5,No
2020/9/10,0.482,5,No
2020/9/10,0.382,5,No
2020/9/11,0.302,4,No
2020/9/11,0.377,4,No
2020/9/11,0.427,4,No
2020/9/11,0.302,4,No
2020/9/11,0.729,4,No
2020/9/11,0.276,4,No
2020/9/11,0.276,4,No
2020/9/11,0.327,4,No
2020/9/11,0.327,4,No
2020/9/11,0.352,4,No
2020/9/11,0.402,4,No
2020/9/11,0.302,4,No
2020/9/11,0.276,4,No
2020/9/11,0.603,4,No
2020/9/11,0.603,4,No
2020/9/11,0.327,4,No
2020/9/11,0.327,4,No
2020/9/11,0.302,4,No
2020/9/11,0.352,4,No
2020/9/11,0.653,4,No
2020/9/11,0.251,4,No
2020/9/12,0.628,4,No
2020/9/12,0.226,4,No
2020/9/12,0.678,4,No
2020/9/12,0.251,4,No
2020/9/12,0.352,4,No
2020/9/12,0.327,4,No
2020/9/12,0.377,4,No
2020/9/12,0.427,4,No
2020/9/12,0.251,4,No
2020/9/12,0.427,4,No
2020/9/12,0.226,4,No
2020/9/12,0.276,4,No
2020/9/12,0.955,4,No
2020/9/12,0.352,4,No
2020/9/12,0.327,4,No
2020/9/12,0.477,4,No
2020/9/12,0.276,4,No
2020/9/12,0.352,4,No
2020/9/13,0.553,4,No
2020/9/13,1.005,4,No
2020/9/13,0.553,4,No
2020/9/13,0.704,4,No
2020/9/13,0.201,4,No
2020/9/13,0.528,4,No
2020/9/13,0.477,4,No
2020/9/13,0.452,4,No
2020/9/13,0.452,4,No
2020/9/13,0.251,4,No
2020/9/13,0.553,4,No
2020/9/13,0.477,4,No
2020/9/13,0.477,4,No
2020/9/13,0.628,4,No
2020/9/13,0.327,4,No
2020/9/13,0.678,4,No
2020/9/13,0.528,4,No
2020/9/13,0.603,4,No
2020/9/13,0.427,4,No
2020/9/13,0.678,4,No
2020/9/13,0.327,4,No
2020/9/13,0.276,4,No
2020/9/13,0.302,4,No
2020/9/13,0.578,4,No
2020/9/13,1.03,4,No
2020/9/13,0.251,4,No
2020/9/13,0.377,4,No
2020/9/13,0.377,4,No
2020/9/13,0.427,4,No
2020/9/13,0.477,4,No
2020/9/13,0.427,4,No
2020/9/13,0.678,4,No
2020/9/13,0.352,4,No
2020/9/13,0.302,4,No
2020/9/13,0.553,4,No
2020/9/13,0.201,4,No
2020/9/13,0.302,4,No
2020/9/14,0.477,4,No
2020/9/14,0.251,4,No
2020/9/14,0.251,4,No
2020/9/14,0.477,4,No
2020/9/14,0.251,4,No
2020/9/14,0.503,4,No
2020/9/14,0.302,4,No
2020/9/14,0.528,4,No
2020/9/14,0.302,4,No
2020/9/14,0.427,4,No
2020/9/14,0.302,4,No
2020/9/14,0.226,4,No
2020/9/14,0.201,4,No
2020/9/14,0.251,4,No
2020/9/14,0.201,4,No
2020/9/14,0.276,4,No
2020/9/14,0.452,4,No
2020/9/14,0.427,4,No
2020/9/14,0.201,4,No
2020/9/14,0.302,4,No
2020/9/14,0.553,4,No
2020/9/14,0.578,4,No
2020/9/14,0.251,4,No
2020/9/14,0.276,4,No
2020/9/14,0.201,4,No
2020/9/15,0.302,4,No
2020/9/15,0.477,4,No
2020/9/15,0.377,4,No
2020/9/15,0.653,4,No
2020/9/15,0.226,4,No
2020/9/15,0.201,4,No
2020/9/15,0.251,4,No
2020/9/15,0.327,4,No
2020/9/15,0.201,4,No
2020/9/15,0.503,4,No
2020/9/15,0.704,4,No
2020/9/15,0.251,4,No
2020/9/15,0.628,4,No
2020/9/15,0.553,4,No
2020/9/15,0.276,4,No
2020/9/15,0.276,4,No
2020/9/15,0.302,4,No
2020/9/15,0.302,4,No
2020/9/15,0.251,4,No
2020/9/15,0.302,4,No
2020/9/15,0.302,4,No
2020/9/15,0.251,4,No
2020/9/15,0.251,4,No
2020/9/15,0.201,4,No
2020/9/15,0.276,4,No
2020/9/15,0.528,4,No
2020/9/15,0.276,4,No
2020/9/15,0.201,4,No
2020/9/16,0.377,4,No
2020/9/16,0.377,4,No
2020/9/16,0.302,4,No
2020/9/16,0.327,4,No
2020/9/16,0.226,4,No
2020/9/16,0.352,4,No
2020/9/16,0.427,4,No
2020/9/16,0.327,4,No
2020/9/16,0.653,4,No
2020/9/16,0.352,4,No
2020/9/16,0.754,4,No
2020/9/16,0.302,4,No
2020/9/16,0.377,4,No
2020/9/16,0.352,4,No
2020/9/16,0.276,4,No
2020/9/16,0.276,4,No
2020/9/16,0.302,4,No
2020/9/16,0.528,4,No
2020/9/16,0.302,4,No
2020/9/16,0.377,4,No
2020/9/16,0.327,4,No
2020/9/16,0.276,4,No
2020/9/17,0.553,4,No
2020/9/17,0.327,4,No
2020/9/17,0.302,4,No
2020/9/17,0.729,4,No
2020/9/17,0.653,4,No
2020/9/17,0.302,4,No
2020/9/17,0.402,4,No
2020/9/17,0.528,4,No
2020/9/17,0.553,4,No
2020/9/17,0.327,4,No
2020/9/17,0.352,4,No
2020/9/17,0.377,4,No
2020/9/17,0.503,4,No
2020/9/17,0.276,4,No
2020/9/17,0.251,4,No
2020/9/17,0.729,4,No
2020/9/17,0.452,4,No
2020/9/17,0.578,4,No
2020/9/17,0.327,4,No
2020/9/17,0.352,4,No
2020/9/17,0.302,4,No
2020/9/18,0.352,4,No
2020/9/18,0.578,4,No
2020/9/18,0.377,4,No
2020/9/18,0.327,4,No
2020/9/18,0.276,4,No
2020/9/18,0.628,4,No
2020/9/18,0.603,4,No
2020/9/18,0.653,4,No
2020/9/18,0.578,4,No
2020/9/18,0.352,4,No
2020/9/18,0.327,4,No
2020/9/18,0.302,4,No
2020/9/18,0.603,4,No
2020/9/18,0.327,4,No
2020/9/18,0.327,4,No
2020/9/18,0.603,4,No
2020/9/18,0.251,4,No
2020/9/18,0.528,4,No
