Date,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Discount (Yes/No)
2020/7/1,0.421,10,No
2020/7/1,0.241,10,No
2020/7/1,0.661,10,No
2020/7/1,0.491,10,No
2020/7/1,0.21,10,No
2020/7/1,0.301,10,No
2020/7/1,0.411,10,No
2020/7/1,0.571,10,No
2020/7/1,0.421,10,No
2020/7/1,0.241,10,No
2020/7/1,0.671,10,No
2020/7/1,0.561,10,No
2020/7/1,0.782,10,No
2020/7/1,0.431,10,No
2020/7/1,0.231,10,No
2020/7/1,0.16,10,No
2020/7/1,0.341,10,No
2020/7/1,0.15,10,No
2020/7/1,0.371,10,No
2020/7/1,0.351,10,No
2020/7/1,0.451,10,No
2020/7/1,0.271,10,No
2020/7/1,0.401,10,No
2020/7/1,0.631,10,No
2020/7/1,0.441,10,No
2020/7/1,0.411,10,No
2020/7/1,0.271,10,No
2020/7/1,0.581,10,No
2020/7/2,0.401,10,No
2020/7/2,0.982,10,No
2020/7/2,0.391,10,No
2020/7/2,0.411,10,No
2020/7/2,0.251,10,No
2020/7/2,0.501,10,No
2020/7/2,0.491,10,No
2020/7/2,0.311,10,No
2020/7/2,0.471,10,No
2020/7/2,0.19,10,No
2020/7/2,0.601,10,No
2020/7/2,0.491,10,No
2020/7/2,0.431,10,No
2020/7/2,0.251,10,No
2020/7/2,0.241,10,No
2020/7/2,0.04,10,No
2020/7/2,0.351,10,No
2020/7/3,0.541,10,No
2020/7/3,0.16,10,No
2020/7/3,0.651,10,No
2020/7/3,0.561,10,No
2020/7/3,0.411,10,No
2020/7/3,0.451,10,No
2020/7/3,0.381,10,No
2020/7/3,0.271,10,No
2020/7/3,0.832,10,No
2020/7/3,0.671,10,No
2020/7/3,0.551,10,No
2020/7/3,0.341,10,No
2020/7/3,0.281,10,No
2020/7/3,0.491,10,No
2020/7/3,0.371,10,No
2020/7/3,0.351,10,No
2020/7/3,0.461,5.9,Yes
2020/7/3,0.361,10,No
2020/7/3,0.261,10,No
2020/7/3,0.371,10,No
2020/7/3,0.862,10,No
2020/7/3,0.311,10,No
2020/7/3,0.441,10,No
2020/7/3,0.17,10,No
2020/7/3,0.341,10,No
2020/7/3,0.361,10,No
2020/7/3,0.541,10,No
2020/7/3,0.972,10,No
2020/7/3,0.351,10,No
2020/7/4,0.521,10,No
2020/7/4,0.541,10,No
2020/7/4,0.481,10,No
2020/7/4,0.21,10,No
2020/7/4,0.451,10,No
2020/7/4,0.561,10,No
2020/7/4,0.481,10,No
2020/7/4,0.411,10,No
2020/7/4,0.331,10,No
2020/7/4,0.2,10,No
2020/7/4,0.291,10,No
2020/7/4,0.431,10,No
2020/7/4,0.351,10,No
2020/7/4,0.18,10,No
2020/7/4,0.591,10,No
2020/7/4,0.371,10,No
2020/7/4,0.551,10,No
2020/7/4,0.501,10,No
2020/7/4,0.511,10,No
2020/7/4,0.451,10,No
2020/7/4,0.08,10,No
2020/7/4,0.762,10,No
2020/7/4,0.601,10,No
2020/7/4,0.631,10,No
2020/7/4,0.291,10,No
2020/7/4,0.591,10,No
2020/7/4,0.581,10,No
2020/7/4,0.441,10,No
2020/7/4,0.501,10,No
2020/7/4,0.481,10,No
2020/7/4,0.661,10,No
2020/7/4,0.551,10,No
2020/7/4,0.14,10,No
2020/7/4,0.21,10,No
2020/7/4,0.481,10,No
2020/7/4,0.19,10,No
2020/7/4,0.321,10,No
2020/7/4,0.541,10,No
2020/7/4,0.581,10,No
2020/7/4,0.391,10,No
2020/7/4,0.591,10,No
2020/7/4,0.651,10,No
2020/7/4,0.271,10,No
2020/7/4,0.541,10,No
2020/7/4,0.301,10,No
2020/7/4,0.341,10,No
2020/7/4,0.521,10,No
2020/7/4,0.421,10,No
2020/7/4,0.441,10,No
2020/7/4,0.661,10,No
2020/7/4,0.301,10,No
2020/7/4,0.341,10,No
2020/7/4,0.641,10,No
2020/7/4,0.471,10,No
2020/7/4,0.471,10,No
2020/7/4,0.601,10,No
2020/7/4,0.601,10,No
2020/7/4,0.281,10,No
2020/7/4,0.481,10,No
2020/7/4,0.571,10,No
2020/7/4,0.321,10,No
2020/7/4,0.641,10,No
2020/7/4,0.13,10,No
2020/7/4,0.15,10,No
2020/7/5,0.461,10,No
2020/7/5,0.291,10,No
2020/7/5,0.341,10,No
2020/7/5,0.421,9.7,Yes
2020/7/5,0.291,10,No
2020/7/5,0.611,10,No
2020/7/5,0.691,10,No
2020/7/5,0.802,10,No
2020/7/5,0.541,10,No
2020/7/5,0.231,10,No
2020/7/5,0.351,10,No
2020/7/5,0.752,10,No
2020/7/5,0.321,10,No
2020/7/5,0.782,10,No
2020/7/5,0.331,10,No
2020/7/5,0.551,10,No
2020/7/5,0.732,10,No
2020/7/5,0.391,10,No
2020/7/5,0.17,10,No
2020/7/5,0.11,10,No
2020/7/5,0.561,10,No
2020/7/5,0.411,10,No
2020/7/5,0.601,10,No
2020/7/5,0.411,10,No
2020/7/5,0.22,10,No
2020/7/5,0.12,10,No
2020/7/5,0.291,10,No
2020/7/5,0.251,10,No
2020/7/6,1.102,10,No
2020/7/6,0.521,10,No
2020/7/6,0.581,10,No
2020/7/6,0.331,10,No
2020/7/6,0.611,10,No
2020/7/6,0.361,10,No
2020/7/6,0.491,10,No
2020/7/6,0.511,10,No
2020/7/6,0.421,10,No
2020/7/6,0.261,10,No
2020/7/6,0.451,10,No
