Date,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Discount (Yes/No)
2020/7/1,1,6.9,No
2020/7/1,1,6.4,Yes
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/1,1,6.9,No
2020/7/2,1,6.9,No
2020/7/2,1,6.9,No
2020/7/2,1,6.1,Yes
2020/7/2,2,6.5,Yes
2020/7/2,1,6.9,No
2020/7/2,1,6.9,No
2020/7/2,1,6.9,No
2020/7/2,1,6.5,Yes
2020/7/2,1,6.5,Yes
2020/7/2,1,6.3,Yes
2020/7/2,1,6.9,No
2020/7/2,1,6.3,Yes
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.5,Yes
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,1,6.9,No
2020/7/3,-1,6.9,No
2020/7/3,1,6.5,Yes
2020/7/3,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,5.6,Yes
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/4,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.3,Yes
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.9,No
2020/7/5,1,6.6,Yes
2020/7/5,1,6.4,Yes
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.9,No
2020/7/6,1,6.6,Yes
2020/7/6,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,1,6.9,No
2020/7/7,-1,6.5,No
2020/7/7,1,5.7,Yes
2020/7/7,1,6.9,No
2020/7/7,-1,6.9,No
2020/7/7,1,6,Yes
2020/7/7,1,6.9,No
2020/7/7,1,6.1,Yes
2020/7/7,1,6.3,Yes
2020/7/7,-1,6.9,No
2020/7/7,1,5.6,Yes
2020/7/8,-2,6.9,No
2020/7/8,2,6.2,Yes
2020/7/8,-1,6.9,No
2020/7/8,1,5.3,Yes
2020/7/8,-1,6.9,No
2020/7/8,1,4.8,Yes
2020/7/8,1,6.9,No
2020/7/8,-1,6.9,No
2020/7/8,1,6,Yes
2020/7/8,-1,6.9,No
2020/7/8,1,6.1,Yes
2020/7/8,1,6.9,No
2020/7/8,1,6.9,No
2020/7/8,1,6.9,No
2020/7/8,1,6.9,No
2020/7/8,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/9,1,6.9,No
2020/7/10,1,6.5,Yes
2020/7/10,1,6.9,No
2020/7/10,1,6.9,No
2020/7/10,1,6.9,No
2020/7/10,1,6.4,Yes
2020/7/10,1,6.3,Yes
2020/7/10,1,6.9,No
2020/7/10,1,6.9,No
2020/7/10,1,6.9,No
2020/7/10,1,6.9,No
2020/7/10,1,5.8,Yes
2020/7/10,1,6.9,No
2020/7/10,1,6.5,Yes
2020/7/10,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.1,Yes
2020/7/11,1,6.5,Yes
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.5,Yes
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/11,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/12,1,6.9,No
2020/7/13,1,6.9,No
2020/7/13,1,6.9,No
2020/7/13,1,6.9,No
2020/7/13,1,6.9,No
2020/7/13,1,6.5,Yes
2020/7/13,1,6.9,No
2020/7/13,1,6.9,No
2020/7/13,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6,Yes
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/14,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/15,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,1,6.9,No
2020/7/16,-1,6.9,No
