Date,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Discount (Yes/No)
2020/7/1,0.786,6,No
2020/7/1,0.452,6,No
2020/7/1,0.401,6,No
2020/7/1,0.468,6,No
2020/7/1,0.368,6,No
2020/7/1,0.836,6,No
2020/7/1,0.401,6,No
2020/7/1,0.401,6,No
2020/7/1,0.401,6,No
2020/7/1,0.636,6,No
2020/7/1,0.368,6,No
2020/7/1,0.351,6,No
2020/7/1,0.518,6,No
2020/7/1,0.351,6,No
2020/7/1,0.401,6,No
2020/7/1,0.87,6,No
2020/7/1,0.418,6,No
2020/7/1,0.334,6,No
2020/7/1,0.368,6,No
2020/7/1,0.819,6,No
2020/7/1,0.334,6,No
2020/7/1,0.401,6,No
2020/7/1,0.318,6,No
2020/7/1,0.351,6,No
2020/7/2,0.418,6,No
2020/7/2,0.418,6,No
2020/7/2,0.903,6,No
2020/7/2,0.385,6,No
2020/7/2,0.418,6,No
2020/7/2,0.368,6,No
2020/7/2,0.418,6,No
2020/7/2,0.435,6,No
2020/7/2,0.468,6,No
2020/7/2,0.418,6,No
2020/7/2,0.401,6,No
2020/7/2,0.552,6,No
2020/7/2,0.769,6,No
2020/7/2,0.452,6,No
2020/7/2,0.786,6,No
2020/7/2,0.485,6,No
2020/7/2,0.435,6,No
2020/7/2,0.385,6,No
2020/7/2,0.836,6,No
2020/7/2,0.385,6,No
2020/7/2,0.418,6,No
2020/7/2,0.284,6,No
2020/7/2,0.284,6,No
2020/7/2,0.435,6,No
2020/7/3,0.368,6,No
2020/7/3,0.502,6,No
2020/7/3,0.418,6,No
2020/7/3,0.786,6,No
2020/7/3,0.753,6,No
2020/7/3,0.435,6,No
2020/7/3,0.401,6,No
2020/7/3,0.669,6,No
2020/7/3,0.368,6,No
2020/7/3,0.268,6,No
2020/7/3,0.351,6,No
2020/7/3,0.351,6,No
2020/7/3,0.585,6,No
2020/7/3,0.702,6,No
2020/7/3,0.368,6,No
2020/7/3,0.351,6,No
2020/7/3,0.368,6,No
